Your the best....you made me feel so much better about myself__																																				
omg this really changed the way i look at my body and everything now. like i realized how much i am comparing myself to others. thank you so much gabbie. <3 this is why i love you so much __ __ __																																				
Hey let's fill the comments with these! ______________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________																																				
Love you Gabbie!! ______________																																				
I have eating disorders to the point where I won't eat days at a time yet my parents don't know. I have no confidence what so ever. I feel worthless all the time. but you help me. you and your attitude towards life helps me. hearing your insane stories make me smile. they give me hope. thank you.																																				
Wow this is really inspiring I am not happy with the way I look but this video made me have a change in perspective thank you gabby it means the world____																																				
Gab I love and you are being amazing just be you and stay amozing. Love yah stay strong__																																				
Gabbie	 you are beautiful. Don't let anyone tell you different.																																			
This was so inspirational ____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________ ILYSM __________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________																																				
I don't look at the scale. as long as I'm confident in how I look	 then I'm fine with myslef																																			
DETAILS DETAILS DETAILS!!!																																				
__																																				
you big nose ass bitch																																				
You are the most inspiring person I know. You have taught me to love myself for who I am and I thank you for that. The things I have learned from you not only impact me in the moment but teach me how to have self confidence in the future. Ily__																																				
Rice Gum																																				
Luv u gabbie ________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________																																				
I went through almost the EXACT same thing when I was younger. I had REALLY bad anxiety and I couldn't eat. i literally would chew my food and spit it out just like u said. I lost soooo much weight that I was like 1lb away from having to be out on a feeding tube. I scared my family so much. The only difference between what I went through and what you did was I wasn't worried about my weight i was worried about throwing up. I went through a lot of therapy	 went to hospitals and had to be put on adult medicine at the age of 8. I've been on medication ever since and still go to the psychiatrist to this day. luckily i was put on a medicine that helped my eating disorder stop and now years later I am average weight for my age. I do still have anxiety tho it just doesn't affect me as much. I'm really glad you made a video. you are amazing and very inspiring. thank you for all you do for us. just thank you.																																			
"Thank you so much, this really inspired me. I know my friends are skinnier than me, so I always assumed I was classified as the larger friend, the friend who was made to make her other friends look better. I've had moments when I've wanted to just throw up everything I had eaten after realizing how much I had eaten. For 2 years as a child I would be scared to eat in front of people. I would be scared that they would judge me by my eating habits, or I would compare myself to their eating habits. I would also cry at night while watching the perfect you tuber or model going on and on about a product or a story, while wearing their designer makeup and outfits. I would sit down, and o would cover up my stomach in class so one of the cute boys would think I was fat. This really picked my head up, and I'm not just saying this as a viewer who ""doesn't know what she's talking about"". I'm saying it to you a person who is really struggling to feel better about herself. Thank you.__"																																				
Gosh	 this made me a bit emotional. I think Gabbie should be a motivational speaker or something because this REALLY moved me. I don't exactly relate to the eating disorder part	 but i related to everything else. And honestly	 she makes me feel more confident with myself which is just what i need. I just love Gabbie so much	 and i hope she knows that she makes a difference to everyone that watches her. <3																																
I would like to know the details and deeper into it. Maybe we can both help each other :)																																				
"My heart dropped when she said ""I don't want to get in details on the "" her hand movements makes me feel she a combination of bulimia and anorexia. Stay strong __"																																				
____________																																				
Dear Gabbie this video inspired me soooooooo much ever since I was little I've been called fat and I would get bullied a lot sometimes I would go crying to my mom ( keep in mine I was in 1st grade ) and I would not eat sometimes and it came to the point where if I ate I felt fat now I'm in 7th grade and this still kinda happens and sometimes i compare my self with my friends or family members and it makes me feel so bad but watching this video is gonna change me maybe not a lot but I'll try . little by little __																																				
You're beautiful ____																																				
You are fabulous! ________																																				
you are gorgeous babe. you are definitely my goals																																				
She reminds me of Vanessa (BB17) and Tiffany (BB18) from Big Brother.																																				
Thank you so much for sharing your experience with this	 Gabbie. It really is inspiring	 and I'm at the same place in life as you with all of this. But it's hard not to fall back into those bad habits sometimes	 so it's really nice to hear this and be reminded of what's best for your body and the real goals you should keep in mind for yourself																																	
____________________																																				
comparison will kill you.																																				
AMEN GABBIE!!! Proud of you sharing a story about yourself that other young women can relate to and hopefully encourages them for the better. Nice job and btw you are not far and never were from any of your videos																																				
your body is amazing! ____																																				
Omg gabbi I'm so sorry that you had to do that. I love you so so much																																				
This made me subscribe to you gab ____																																				
I feel you Gabbie. I always fell like I'm fat (although everyone says I'm not) I weigh 82 or 84 pounds and I'm 11 years old. I always have fat on my stomach and I want to get rid of it but it always comes back. Can anyone help me? Am I too fat for and 11 yr old?																																				
"""your before photo could be someone's after photo"" YES"																																				
This is honestly my favourite and most real video I've seen on youtube. This has inspired me a lot	ÊLove you Gabi keep up the good work! xxx																																			
u r skinny gabbie																																				
Question	 why are some people disliking this? I mean it's so inspirational! I have no idea why people hate her. I love Gabbi so much! She is an amazing person	 and role model. If you thought that any of this video was like stupid or dumb	 it's not. This video really hit me. Gabbi you are freaking amazing! Ily! __																																	
"Gabbie isn't ""fat"" she's just curvy __"																																				
go vegan you wont get fat by not eating fat																																				
Seriously wishing I had your body over mine any day																																				
This is beautiful. I'm so proud of you and thank you for this message. I hope you can be 100% happy with yourself very very soon																																				
Wow i actually relate to this story alot because for me personally i was huge at 10 years old and really short so i litterally looked like a rolly polly olly and i was bullied harshly through the ages of 8-12 years old ( 12 being the age i lost all the weight ) and yet somehow to this day i feel like im huge and gross and that i need to lose weight. It feels like conciously i know im not huge but subconciously i always pay attention to numbers and what i eat and how much ive worked out for the day but i feel like no matter how much i try to make myself feel good about being the way i am those memories of the bullying and constant reminders from pictures of when i was young make me feel far less adequate than everyone else which i know isnt okay but i honestly cant help but feeling this way	 however seing what you had to go through and knowing that im not alone makes me feel a hell of alot better about myself gabbie thanks ____( btw im 16 years old and im 5'5 and 125 lbs now )																																			
I love seeing positive videos! I have a lot of the same struggles. I always feel like I'm not good enough but I try to stay positive and seeing videos like this helps a lot of woman I hope you know that! Fuck anyone whose ever said your fat! The only kind of fat you are is P.H.A.T!! __Stay positive!																																				
i almost cried lol and i used to think i was getting a little bit fat even though im not close to being fat but i used to look at all the cooler kids cause they were skinnier and i would just get all sad about it cause everytime i was around them i would suck in hoping they think im skinny even though i was and i have a friends who would say they are fat and wish they had my body then they started getting depressed and started cutting them self and ive been helping them and now we run together and eat healthier and shes now skinnier than me but things have been getting better and you are not fat at all and sometime i would talk to my friends about how so many people are rude to you cause they call you fat and a whore and i would should them your post on instagram and your vines and your videos and they would just rant with me on how its bull crap that your not fat cause your not at all but yeah i love you and you are the best lol sorry about the grammar just to lazy to correct it																																				
Gabbie	 after watching this video.. it hit me hard. I have watched you for years and ever since I started watching you	 you have made me fell happier. Before I started watching you I was SO insecure. Everything I did was wrong. Thoughts about my weight	 my food	 how I dress	 how I looked. All of these things haunted	 I was miserable to be me. The more and more I watched you	 the more comfortable I got with myself. You are so confident about basically everything and your were (and still are) my goal. Last year I came out as Bisexual	 I asked out the girl of my dreams	 and I have you to thank for that. So thank you..																											
Can I just ________________________________________________________________________________________________																																				
Getting ready to go to the bars tonight with my friends and I'm trying on so many outfits and have a judgement for everyone. I really really needed to see this video before I left and if I need to watch this everyday till I accept myself then I will. Thank you for this video you're an amazing human being Gabbie and you have impacted so many lives. You're so beautiful and so smart and I hope you fully realize this 180 degrees in all angles __																																				
"U never looked fat Gabbie. I have a leaky gut is what it's called. It makes u gain weight really easy and u could have allergies to a lot of things. So I am very over weight and people pick on me for it but you're right. A quote I like to remember is "" Don't judge my story by the chapter u walled in on."""																																				
I think I might have an eating disorder too... I eat 5-6 meals a day with constant snacking in between. But somehow I'm only 105 lbs... What since does that make?																																				
THIS IS AMAZING GABBIE! PREACH ILY																																				
in depth please i have always been underweight and see so many doctors and try so many different things to gain weight so i'd like to know the other side																																				
I love what you are doing lately gabbie. don't ever be scared to put your voice out there. not everyone will like it but it'll help someone. you had to be very strong to go out there and talk about your personal struggles.																																				
I'm sorry but the intro music thing is so ironic																																				
this actually helps me alot more thank you for being such an impact in my life																																				
You're so beautiful and an amazing person. Good for you for sharing your story__																																				
I..i don't have inspiring things to say but I hope you read comments from more inspirational people and enjoy them ....that's the best I can do .																																				
Hey Gabbie! Will you please do a Draw My Life video? Please?! Anyone else agree?																																				
i feel you. I lost weight at one point and thought i was never losing weight so i stopped and gained over 50 pounds and people started asking me why did i stop that i was doing so good you were like a tiny person and now u let yourself go																																				
the presence of someone else's beauty is NOT THE ABSENCE OF YOUR OWN																																				
Wow	 this video is truly amazing	 thanks for making it. I know what it is to hit rock bottom	 and I've had an eating disorder before so I was able to relate to a while lot of things. This video really made me smile	 I'll be honest I actually unsubscribed to you a long time ago	 I forgot why	 but I'm subscribed to you again and I have so much more respect for you now. I feel bad that it took me a video like this to respect you as much as I do now	 so I apologize	 but I guess what I'm trying to get to here is thank you. Maybe you don't know it	 but this video WILL help people	 you have tons of subscribers	 so this will definitely influence and reach people in the best was possible. Seriously	 thank you	 I just wish I had seen this while I was going through my own struggles. :-)																							
"When Gabbie said ""Don't ever assume that you know somebody. You don't know their struggles, you don't know what they've been through, and you sure as hell don't know their demons."" That was my absolute favorite part. It also reminded me of Twenty ¯ne Pil¿ts particularly the song kitchen sink. Love you, Gabbie _"																																				
i have a eating disorder																																				
first preach second you are skiny pritty inteugeng women you go girl																																				
awe gabby were all here for you <3																																				
this was so inspirational																																				
i love you !!																																				
i want to know bc im struggling w/ that																																				
Here if anything Gabbie ilsm______																																				
gabbie your perfect the way you are																																				
"no, you're just right I think;)"																																				
I have SO much in common with you it's amazing tbh																																				
Gabbie	 I understand exactly what you're going through. It's has taken me FOREVER to love my body. Still have some bad days but I have more good. I always hated to look at myself in the mirror because it would just bring me down so much. But to look back and see how much you've grown and come to love the skin your in is amazing. Also to have friends and the people you love around you to tell you how far you've come is even more amazing. Dating my boyfriend has made me insanely more confident because he always tells me I'm beautiful and I when I look at myself in the mirror I actually smile!? Like what!? Keep being the inspiring human being you are	 don't ever let anyone or even your self bring you down. ______________________																																		
Thank you so much for making this video Gabs	 I hope you know know how big of an impact you are on our lives and how much I appreciate you and your amazing content.																																			
Thank you I needed this __																																				
HOLY SHIT I JUST NOTICED GABBIE IS ALSO FROM CLEVVER WOAH																																				
I have such bad anxiety now that I look at it.																																				
Honestly	 thank you sooooooooooooo much	 you don't know how much i needed those words you have spoken to me	 thank you																																	
I can relate to this so much .__																																				
Hey Gabbie- I just have to tell you that I admire you for so so so many reasons. I have anxiety and PTSD, I've known I've had it for years. It didn't dawn on me until last year that I've struggled with eating disorders since I was 15! I'm 22 now. You've inspired me to get back into therapy and to address these eating disorders in a better way. You're amazing, please don't ever stop being you. Btw your hair is goals!!! Much love! Aly __																																				
"Okay so here's the thing, I'm skinny and sometimes I don't eat (even tho' I eat a lot) and in really rare occasions I look in the mirror and I say ""wow I'm gaining weight"" or ""damn, I don't fit here, I need to lose weight"" and I really don't mind getting fatter? (Idek how to explain it)and without noticing at the end of the day I haven't eaten...but I don't mean to not eat...So idk what's up with me...can somebody tell me? Do I have an eating disorder?"																																				
Gabbie	 i look at you every photo and video and wish I looked like you. You are my goals and im not much bigger than you.																																			
You really inspire me soo much____																																				
so much respect for you sharing this with us. made me love watching your videos even more. I'm the opposite	been called too skinny my whole life. but I'm now at a point in my life where I'm happy with how I look. I eat better	work out	and gained weight in the areas that needed improvement. it's a process. but what matters is that you're healthy and happy.																																	
Eating disorders fucking suck. I've been trying so hard for the last 6 years to break out of the mentality that it gave me and it's near impossible. If you think that starving yourself	 or throwing up will be a quick one time solution	 it's not. It turns into a life time issue. Not worth it	 love yourself!!!																																	
i lovee you so much. i struggled with this for so long. i even got kidney stones because of it. im so proud of you for sharing your story																																				
Dude look what you become don't ever let someone tell u that u r fat because your perfect																																				
"I've spent the past 7 months dieting, excising and (its hard for me to admit) obsessing over my body. I've lost the 30 lbs I wanted to, but for some reason i'm still not happy sometimes. I've always been the ""chubby"" kid, and I understand what you mean by always being in that ""fat kid"" mentality. Watching this honestly inspired me, I will try to focus more on health and less on numbers :) Thank you for this video and being brave enough to talk about this, It really helped me <3"																																				
we want the in depth story of your eating disorder																																				
Honestly Gabbie	 I have always struggled with my weight and loving myself	 and this just made me feel amazing. Your video showed me that I am not alone. I	 too have been trying to make healthier decisions and I have been so focused lately by the number on the scale that I was pretty much obsessed. Thank you for posting this. It really made me think about the fact that I am trying my best	 and my health is the most important thing. Not just my jean size or how much I have lost. To some people	 my body is where they want to be	 and I should be proud of how far I have come. Thank you again. I know it was not easy	 so thank you.																													
You should go vegan__________ its helped my health and mind in tenfolds																																				
__Oh	 sweet Gabby__	 to ve made me cry__. Your my favorite YouTuber ever and I love you so much and some videos I can't watch because it's too mean. And I'm so sad you've struggled because you are goals for me. I think everything about you is gorgeous from your hair to your size (which is) what I'm so trying to be	 to the fact that you run your fingers through constantly__. I really hope I get to meet you in person so I can tell you in person if you don't see this. Love you	 Gabs__________________																																
i watched this while eating chocolate and i felt awful																																				
So proud of you gab is and if you could do a more in depth version that would be great!																																				
Love you so much gabbie ________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________																																				
Just saw this video on eating disorders. You can tell from your blushing it was both hard and passionate. WTG!!! Never forget your beauty! you have always been gorgeous... now it's time for you too worry about you. This comming from a skinny kid who at 1 time got to 200... and for 5'7 is not pleasant. Always love yourself... reason why we always like to watch you.																																				
You're such an inspiration! ________																																				
your fucking gorgeous, don't think any different,natural or with make up,or what ever makes you comfortable																																				
you're doing well	 Gabbie.																																			
Check out my article on this topic- https://www.theodysseyonline.com/because-size-dictate-beauty You're not alone Gabbie.																																				
Girl....been there	 done that....especially in college. It's really hard to acknowledge that you might have a problem. It took me years. I'm so proud of you! This 30+ dumb dumb can tell you	 it will get better. It never goes away	 but you are making fantastic progress as clearly making this video is a testament. Keep up the good work!																																	
I love you so much I know what you went through and I wanna thank you for sharing this with us. I love you																																				
The weird thing I only find with my stomach is all my weight/fat there goes straight to the bottom half	 instead of evening it out	 so when I'm wearing a bikini or something	 I look fatter than I actually am. You can still visibly see my lungs/ribs but I'm fat enough on the bottom half of my stomach	 I personally dislike that																																
"I love your stories, colabs, vlogs, shenanigans, etc. (you know, the general fuckery) and am SO IMPRESSED with your recent videos with more serious topics at their core. It would be easy to stick to the funny stuff (and when it's funny IT'S FUNNY - esp. the last year and a half!). BUT instead of playing it safe you are utilizing the voice you have cultivated for yourself by doing all those hilarious things and by telling your outlandishly spectacular stories and you're reaching out. Reaching to connect with your show stopper fam and say: let's talk about it; lets address a topic that may feel uncomfortable to talk about but is something we need to, as a society, start addressing. You are taking a risk with your livelihood potentially loosing subscribers because these topics can be so polarizing. You're doing it despite all that, and I thank you. Alone, each individual little voice may not be able to accomplish a lot BUT united they can become a great force. Thank you for adding your voice - I love hearing it. Love you Gabby!!!!!!"																																				
YOURE SOOOOOOO AMAZIING ____________																																				
Bitch stfu																																				
I love this video so much! You are so brave for sharing this story	 and you said some really powerful stuff.																																			
I have a pillow that smells like oatmeal																																				
Gabbie I've watched your journey	 sometimes I'll go back and look at some of your older videos and the transformation is incredible and inspiring. I've always thought you were funny	 brilliant and beautiful. You have a radiance and a confidence that helped me learn to love myself. I'm sorry you've struggled so much but you're doing such a good job and you're inspiring so many young people who are watching your videos. Keep it up! ______																																		
+ The Gabbie Show I read through most of the comments	 and they were all sooo positive. I love the fact that people are supporting you through such a hard time in your life... I am glad that you took it upon yourself to work through it	 and make a whole video on it. It is amazing to see that so many people are so supportive and complimenting you and saying you are perfect just the way you are ('Cause it's true) and that you inspire them . I think we need more people like you in this world	 and I'm not just saying that... I really mean it.																																	
"can you do a more in depth video on how you started eating more and working out and actually starting to lose weight? i eat about 500-800 calories a day like you did and think that im eating enough and i never ever lose weight. my minds like, ""you're not losing weight bc you're eating too much"" and just im having a really hard time thanks for posting this ______"																																				
I have an eating disorder. I don't eat meat	 fruits or vegetables very often. I eat junk food All the time... It's discouraging... :(																																			
Thank you for this																																				
____________________																																				
I love u gabbie __																																				
Gabbie	 your beautiful and your healthy. Dont EVER let ANYONE call u fat.																																			
i was thinking one day	 how could anyone be friends with me? Im stupid	 crazy	 weird	 and ask a lot of dumb questions. Then one day my friend told me the oposite.																																
you are literally the most beautiful human being! i experience the same thing and it takes work and you the most awesome inspirational person																																				
I was diagnosed with anorexia when I was 11	 and I didn't even know what it was.																																			
@the gabbie show you are my favorite youtuber ever you hope you see his because you are amazing and beautiful i look up to you as a role model																																				
Her background looks like Miranda Sings																																				
I want her body I have a fat gross stomach __																																				
This is one of my favorite videos! When I was young I was always told I was fat because other girls my age where skinnier, but I was just taller and had a bigger body, which was beautiful. That led me to eating disorders and to gain real weight and be fatter... but now I'm at a point in my life where I am centered in making healthy choices for my body and mind.______ Every body is beautiful! As long as you are healthy, that's all that matters!!!! I love you Gabbie , thank you so much for sharing your story__________________________																																				
Anyone here remember when she was rude to Ricegum. If not check his channel out with him roasting this lying hippercrit. Smh																																				
If you don't eat	 you actually gain weight	 so don't starve yourselves	 guys!																																	
Oh Gabbie you are such a beautiful soul! I actually love hearing your stories about your struggles in life because you have such an influence over your followers that you send so many positive vibes and messages. Plus not many youtubers talk about such serious issues. This one hit home for me it just reminded me of my sister. Love you gab keep going strong! ____																																				
You looked like you were going to cry for the whole video! And you sounded like it	 too. :( Hugs																																			
Gabbie Awww I love you anyway. ______ Have some Plants with Pants, Gabby. ______ ______ (They're a boy band) :3																																				
Everywhere I go I get bullied that I'm fat even my own family says that and it really bothers me. :(																																				
You are beautiful inside and out Gabbie :D																																				
PREACH GIRL!!! ________________																																				
My sister struggled/struggles with anorexia. She went to a hospital for it last summer. It was one of the worst points in my life. I have anorexia as well	 but I refuse to give anyone I know even the slightest clue of what I'm feeling. I'm told I'm not fat. I have a slight thigh gap	my stomach is thin so I'm told.I don't think it is. I feel insecure in bikinis	 but my friends say I'm skinny. I don't feel like it though because I have friends with perfect stomachs and thin waists while I have a little extra fat and their legs are a bit skinnier than mine. I feel awful because I work out almost everyday and if I eat multiple snacks	I make my actual meals smaller and healthier	 and even if I had no extra fat on my stomach area I feel i still look fat bc my hip bones&rib cage are big and boney bc ugly bone structure and I feel it makes me look fatter than I am	&it makes my back look broad/ugly but I never feel skinny.This is the first time I've admitted this to myself or to anyone else.																														
Oh,Gabbie. <3 <3 I love you so much.																																				
Omg!....__I know how you feel seriously																																				
I love you so much! I recently cut meat out of my diet to lose weight for volleyball season and I keep wondering if it's the right decision. But I have noticed I am starting to not compare myself to other people who are skinnier than me and I have noticed that I am losing some weight. But I still am very aware of my body/fat. And I am so scared to get on a scale to see how much I weigh. I haven't been on a scale in years. And I am so scared that I will one day develop a eating disorder and I'm scared I won't lose weight. But this video really encouraged me to not care and the weight and if I feel good and if I'm health that's all that matters! Thank you!																																				
It's a wonderful thing to put something like this out there for others to see. Some people may secretly be struggling and afraid	 and something like this from someone they admire and relate to can mean a lot. You went out on a limb to put this out there	 and like you said	 making yourself vulnerable to the masses. It takes a brave	 confident	 and considerate person to do something like this. Also it proves that you genuinely care about others	 which is a thing I believe a lot of society has lost touch with considering the fact that there can be a lot of self involved people around us on a daily basis. Good job my dear and I commend you for being a wonderfully brave person and helping others and providing others with genuine advice	 entertainment	 and correlation. Much love from Pittsburgh!																												
"when you said ""your before picture might be someone's goals"" , that hit me hard. I've struggled with some things and that really was just... woah. love you gabbie! ____"																																				
you're never alone	 so many people go through this and I'm so happy that you've shared. i love you <3333																																			
Thank you Gabbie	 this has been very helpful to me. I've had personal issues with things like this and I really needed to hear motivation like this. I'll still need more	 but you are getting me on the right track__																																		
don't ever change																																				
to be honest I wish that I had her body because she is beautiful and no one should call her fat I think I'm fat because a lot of my friends are skinny and because most of them I look up to I think I'm fat so they are skinny so I would give anything to be skinny and eat all I won't and not get fat I love you don't ever think your fat gabby I love you																																				
Hey Gabbie what you said really touched me	 ever since I was born I was told by my dad that being fat was going to get you no where in life and that since I was only heavier one in my family besides my mom we both got a lot of hate. my mom has troubles and me myself well I choose to vent to my friends and keep y dad distant. my dad is also the type of guy to have favourites	 to explain if my brother was eating a tub if ice cream with just a spoon and watching TV all day my dad would walk on pass. but if i was in my brothers place at that moment i would get yelled at and told that I'm getting fat and stupid watching TV all day and that ice cream only makes me fatter. there was a point in my life that I actually did nit eat for 3 days ( maybe like a apple for meals). my friends where super helpful	but my dad on the other hand just asked me what sport I'm doing in high school. this tested my strength and I ended up going to a Christian conference for a week in Nebraska. there I grew closer to god and was drawn to do things with my body	 maybe even start a body shaming campaign	 tho I don't know where to start. anyway thanks for listening and I hope that all those who may struggle with the same thing I am going through that they find great friends that show them the way and that they know that God loves them and he had sent his only son Jesus Christ to dis on the cross for us. May God bless you have a great day																															
"what makes me really happy about this is that gabby edited out the parts where she was getting teary eyed so that it didnt seem like a ""poor me"" type video. this is why i really respect her, she didnt want views she wanted to help people"																																				
your beautiful																																				
im just afraid ill never be happy with myself.																																				
I love you Gabbie																																				
Your not fat	 people are messed up. Your fabulous and I wished I had your body.																																			
I'm glad people like you exist_																																				
thank you for this	 it really helped me. it really	 really helped me.																																		
This sort of thing melts my heart.who ever called u fat	forget them they are hatesr coz they are too skinny and dont let anyone tell u ur fat ur beautiful just the way u are.ive been watching u for 3 years and every video makes me laugh or make me feel for u. contine u being who u wanna be(sorry if anything is spelt wrong)																																			
________________________________________________________________________																																				
Gabbie you are so beautiful!! Don't listen to anyone who puts you down!!																																				
your ok gabbieeeee ________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________																																				
this was really powerful	 love you Gabbie																																			
this may sound weird but my best friend	 my boyfriend and I were talking about imaginary dating (like dating celebs) and he said he had a huge crush on u for almost a year and i was like omg yes shes so hot!! lysm heart																																			
"I at one point I was maybe 13-14 years old thought I was fat. I went weeks only eating once a day and it was only on small portion of a selection of food. A boy that I liked had noticed this and he said to me ""If you don't start eating more, I am going to stop being your friend completely, because I don't want to lose you to starvation. Please."" and everyone just looked at me and waited for my answer. I didn't know my crush and my friends were paying attention to how I Wasn't eating it made me feel bad that I worried them so much."																																				
You are beautiful whoever you are	 no matter what. the only way to be fully healthy is to believe that you can be amazing without changing who you are.																																			
Guys	 we need to create a group that will report negative comments Gabbie gets on YouTube and remind her that she's beautiful!																																			
This video made me cry																																				
Vegan	 eat as much as you want	 don't count calories	 weight falls off!																																	
I love you gabbie and you are a beautiful human being!! ________________________________________________________________________________________________________________																																				
I started crying. I do not have an eating disorder but i do compare myself so much to other people. Gabbie i love you the way you are and i would love to look like you. love you so much. thank you for being my inspiration and motivation! <3																																				
this is so brave of you!! I don't battle with an eating disorder	 but I understand anxiety. I also go to a therapist	 so I understand those eye-opening moments. But thank you so much for posting this. Love you!! God bless xoxo																																		
Omg This is actually inspiring me because for the past 4 years I keep thinking that I'm so fat and some people say that I'm like goals but I felt like they are lying omg this helped me so much thank u																																				
"""Comparison is the root of all evil and the killer of happiness"" YAAAS!"																																				
I still love u Gabbie																																				
I know you may not see this comment but i love you and I really will look back on this video because it has made me stronger I have always compared myself to my friends who I label as skinny and perfect but the I look and my self and label myself as fat. This video has made me stronger people always tell me I'm not fat but then I think would they lie to me and I don't know anymore so. I know have someone too look up to and show me that I don't have to compare myself to love myself. I can love myself no matter what. I let people label me I then believe it so many people have called me fat and my birthday is on the 21st I'm turning 13 and idk how many times I have been called fat. But this video has REALLY made me stronger! Thank you	 love you__																																			
this really spoke to me.. I love you_																																				
It's been five years since I was in treatment for anorexia. I've been in recovery since then and it's been very difficult but very rewarding. Keep fighting! Everyone struggling keep fighting for recovery and freedom! It's possible and worth everything. I got my life back. I am so proud of you Gabbie for speaking up and sharing your story will help others. You are amazing! Keep fighting and never give up. You're such an amazing and strong person	 you can overcome this!																																			
This video touched my heart so badly!!! Your right!! You just have to feel good in ya skin!!! I use to be pretty fat too like ever since I was born I have been either plum or just round! And I hated that when I was growing up!! I was so aware of my appearance and I'm literally the meaning of vanity!!! If I don't look good then I will force myself to look good!! And that made me insane and even my friends could see that I was going insane!! They said that I became a bitch... And for me to hear that I just bald tears!!! Coz I was sorry of what I was becoming...																																				
